year mon day ipncongd ipbuseq ipmat
1970 7 1 53.9404 17.3664 37.7745
1970 8 1 53.3184 17.3187 38.2315
1970 9 1 53.6021 16.9491 37.9678
1970 10 1 53.9264 16.3945 36.9656
1970 11 1 53.3775 16.3034 36.7444
1970 12 1 54.2568 16.5115 37.5759
1971 1 1 54.5325 16.1504 38.1004
1971 2 1 53.981 16.2403 37.8747
1971 3 1 54.1766 16.0774 37.947
1971 4 1 54.6623 15.9815 38.1979
1971 5 1 54.3714 15.8719 38.6477
1971 6 1 54.7656 15.951 38.8214
1971 7 1 55.5378 15.977 37.8846
1971 8 1 54.8642 16.2205 37.6616
1971 9 1 55.6329 16.5934 38.3823
1971 10 1 56.2768 16.7558 38.4971
1971 11 1 56.6769 16.8323 38.562
1971 12 1 57.1167 16.9267 39.3553
1972 1 1 57.6036 17.4763 40.5849
1972 2 1 57.9406 17.7389 40.998
1972 3 1 58.1736 17.9792 41.4235
1972 4 1 58.3865 18.2901 41.8183
1972 5 1 58.2363 18.2438 41.9088
1972 6 1 58.2527 18.322 41.98
1972 7 1 58.3352 18.3357 41.6768
1972 8 1 59.0336 18.6913 42.2988
1972 9 1 59.1667 18.8353 42.7227
1972 10 1 59.9048 19.2276 43.1553
1972 11 1 59.8134 19.6196 43.7716
1972 12 1 59.9547 19.8694 44.4783
1973 1 1 59.8523 20.2053 44.8684
1973 2 1 60.4647 20.6305 45.5663
1973 3 1 60.6409 20.789 45.4178
1973 4 1 60.211 20.9323 45.4881
1973 5 1 60.8377 21.1639 45.7765
1973 6 1 60.2754 21.3305 45.8584
1973 7 1 60.1471 21.598 46.065
1973 8 1 60.1766 21.6665 46.096
1973 9 1 60.696 22.0602 46.3246
1973 10 1 61.2115 22.3304 46.6675
1973 11 1 61.4847 22.5038 46.9748
1973 12 1 60.4419 22.5853 47.1891
1974 1 1 60.6883 22.5599 46.8254
1974 2 1 60.4857 22.4633 46.7385
1974 3 1 60.5988 22.6721 46.5663
1974 4 1 60.5063 22.4485 46.5152
1974 5 1 61.2091 22.7782 46.7778
1974 6 1 61.2538 22.8452 46.5907
1974 7 1 61.1338 22.8352 46.7861
1974 8 1 61.0808 22.8288 45.9632
1974 9 1 60.4481 23.258 46.0912
1974 10 1 60.837 23.2785 45.8206
1974 11 1 59.5704 22.9396 43.8477
1974 12 1 58.9798 21.9499 42.1302
1975 1 1 58.0353 21.5291 41.7974
1975 2 1 57.5618 20.8113 40.7725
1975 3 1 57.5441 20.4665 40.2093
1975 4 1 58.3831 20.2604 39.9316
1975 5 1 58.1893 20.0203 39.6959
1975 6 1 59.1645 19.8309 40.0053
1975 7 1 60.0913 19.9947 40.1693
1975 8 1 60.1962 19.8223 40.8095
1975 9 1 60.897 20.1124 41.3172
1975 10 1 61.1171 20.1515 41.5447
1975 11 1 61.4501 20.145 41.7242
1975 12 1 61.7086 20.4711 42.3447
1976 1 1 62.4553 20.7341 43.0162
1976 2 1 62.4255 20.8657 43.6395
1976 3 1 62.241 20.9551 43.7913
1976 4 1 62.5067 21.1871 44.0985
1976 5 1 63.2057 21.3519 44.1857
1976 6 1 62.972 21.4058 44.3218
1976 7 1 63.4129 21.5902 44.437
1976 8 1 63.1918 21.9443 44.8891
1976 9 1 63.4231 21.8886 44.9773
1976 10 1 63.7976 21.9936 44.7432
1976 11 1 64.5399 22.7216 45.3204
1976 12 1 64.806 23.0642 45.8026
1977 1 1 64.6553 23.1108 45.4129
1977 2 1 65.4722 23.6015 46.068
1977 3 1 64.7585 23.9715 46.9742
1977 4 1 65.1502 24.3668 47.3595
1977 5 1 65.0892 24.8804 47.7444
1977 6 1 65.2347 25.4309 47.9332
1977 7 1 65.4343 25.5808 47.9305
1977 8 1 65.5408 25.6417 47.8291
1977 9 1 65.5453 25.7875 48.1905
1977 10 1 66.4482 25.7084 48.4265
1977 11 1 66.4321 25.6808 48.469
1977 12 1 67.0776 26.0573 47.9914
1978 1 1 66.2416 25.5394 47.5568
1978 2 1 67.1244 26.1588 47.444
1978 3 1 68.085 26.9395 48.1603
1978 4 1 68.1515 27.4766 49.6338
1978 5 1 67.9637 27.5606 50.0985
1978 6 1 68.407 28.0292 50.3143
1978 7 1 67.8414 28.2826 50.3211
1978 8 1 67.8699 28.8233 50.4563
1978 9 1 68.1844 29.1275 50.5465
1978 10 1 68.0523 29.7168 51.0775
1978 11 1 68.2183 30.2249 51.4759
1978 12 1 68.3699 30.5813 51.7086
1979 1 1 67.8751 30.8766 51.0236
1979 2 1 67.6654 31.2455 51.4614
1979 3 1 68.0972 31.4589 51.5401
1979 4 1 67.8022 30.8588 51.24
1979 5 1 67.5822 31.6381 51.4978
1979 6 1 67.5016 31.8373 51.5459
1979 7 1 67.0762 32.1348 51.3782
1979 8 1 67.2682 31.7082 51.0822
1979 9 1 66.9133 32.625 50.777
1979 10 1 67.2783 32.1983 51.2791
1979 11 1 67.5013 32.1749 51.17
1979 12 1 67.6789 32.3947 51.0931
1980 1 1 67.7192 32.9223 51.4717
1980 2 1 68.275 33.1048 51.3461
1980 3 1 68.1298 32.9052 51.3025
1980 4 1 67.7261 32.5378 50.0796
1980 5 1 67.2746 32.0002 48.6028
1980 6 1 67.2768 31.6284 47.7686
1980 7 1 67.3972 31.6579 47.0303
1980 8 1 67.538 31.6364 47.1437
1980 9 1 67.2551 32.1866 48.0773
1980 10 1 67.4953 32.8254 48.761
1980 11 1 67.3417 33.4043 49.8797
1980 12 1 67.6409 33.4486 50.3749
1981 1 1 67.806 33.5342 49.7746
1981 2 1 67.6682 33.1744 49.6233
1981 3 1 67.2804 33.4657 49.9498
1981 4 1 67.2374 33.8204 49.2572
1981 5 1 67.7956 33.8395 49.525
1981 6 1 67.3485 33.6538 50.2124
1981 7 1 67.8687 33.6702 50.5449
1981 8 1 68.0409 33.7341 50.5387
1981 9 1 67.7738 33.672 50.1094
1981 10 1 68.4698 33.606 49.4202
1981 11 1 68.7976 33.1115 48.5662
1981 12 1 68.8751 32.6049 47.9126
1982 1 1 68.018 31.3203 47.0977
1982 2 1 69.4902 32.4033 47.6374
1982 3 1 69.0103 31.9358 47.3386
1982 4 1 68.5559 31.5446 46.7329
1982 5 1 68.624 31.3882 46.193
1982 6 1 68.9621 30.7721 46.0406
1982 7 1 69.0565 30.7067 45.7021
1982 8 1 69.2112 30.0212 45.254
1982 9 1 69.5017 29.8112 44.9767
1982 10 1 69.9303 29.2377 44.4701
1982 11 1 69.7369 29.0777 44.2705
1982 12 1 68.5186 29.3837 43.879
1983 1 1 69.4715 29.4607 44.9012
1983 2 1 68.3875 29.3086 44.7575
1983 3 1 68.4501 29.6381 45.1542
1983 4 1 69.7731 29.6607 45.6852
1983 5 1 69.6814 30.0414 46.0517
1983 6 1 69.5065 30.2276 46.3638
1983 7 1 70.2372 30.8305 47.1208
1983 8 1 70.6426 31.068 47.7416
1983 9 1 71.3936 31.9235 48.3991
1983 10 1 70.4969 32.321 49.0889
1983 11 1 70.5027 32.5443 49.3342
1983 12 1 70.0086 32.9235 49.5217
1984 1 1 71.3825 33.6739 50.5519
1984 2 1 71.0677 33.9659 50.8676
1984 3 1 71.3944 34.3165 51.0654
1984 4 1 71.7238 34.5832 51.4323
1984 5 1 71.6309 34.7846 51.7822
1984 6 1 71.4129 35.2285 51.9005
1984 7 1 71.1352 35.733 52.0991
1984 8 1 70.427 36.1155 52.0146
1984 9 1 70.5788 36.2776 51.7724
1984 10 1 71.5793 36.4544 51.3123
1984 11 1 71.5011 36.797 51.4903
1984 12 1 71.6808 37.0543 51.3715
1985 1 1 71.3422 36.8957 51.4098
1985 2 1 72.3103 36.6473 51.6043
1985 3 1 71.8898 37.0265 51.5026
1985 4 1 71.7093 36.6899 51.4885
1985 5 1 71.7972 36.7703 51.4935
1985 6 1 72.2608 36.8622 51.4058
1985 7 1 71.772 36.5713 51.0393
1985 8 1 71.9686 36.7219 51.1384
1985 9 1 72.6231 36.59 51.4001
1985 10 1 72.5929 36.5148 51.0858
1985 11 1 72.4471 36.8522 51.1708
1985 12 1 73.511 36.7817 51.8602
1986 1 1 73.9198 36.8223 51.9431
1986 2 1 73.1847 36.386 51.7297
1986 3 1 72.8709 36.4214 51.1815
1986 4 1 73.535 36.1526 51.0791
1986 5 1 74.0249 36.0789 51.0672
1986 6 1 73.8217 35.6813 50.7937
1986 7 1 74.1557 35.9276 51.1712
1986 8 1 73.9163 35.9951 50.911
1986 9 1 73.7675 35.9817 51.0598
1986 10 1 74.2106 35.9446 51.361
1986 11 1 74.5672 36.036 51.6108
1986 12 1 74.9939 36.4176 52.0001
1987 1 1 74.1016 36.4607 51.9208
1987 2 1 74.9376 37.3375 52.532
1987 3 1 75.3652 37.1933 52.6528
1987 4 1 75.452 37.512 53.1368
1987 5 1 76.0748 37.8471 53.4037
1987 6 1 76.5559 38.22 53.7664
1987 7 1 77.289 38.3282 54.169
1987 8 1 77.7094 38.8072 54.5446
1987 9 1 76.9085 39.4364 54.7618
1987 10 1 77.8699 40.3303 55.5493
1987 11 1 78.0002 40.6753 56.0512
1987 12 1 78.3962 41.0962 56.3262
1988 1 1 79.0315 41.1805 56.1383
1988 2 1 79.5456 41.4142 56.3294
1988 3 1 79.2064 41.8169 56.5498
1988 4 1 79.2338 42.2934 56.8814
1988 5 1 78.8034 42.5274 56.925
1988 6 1 78.6861 42.9146 57.1235
1988 7 1 79.3337 42.6013 57.2885
1988 8 1 79.8871 42.734 57.4983
1988 9 1 78.5189 43.082 57.2403
1988 10 1 79.165 43.4319 57.4358
1988 11 1 78.9087 43.5383 57.5925
1988 12 1 79.0906 43.6253 57.8848
1989 1 1 78.4051 44.0812 58.0165
1989 2 1 78.8419 43.9149 57.5842
1989 3 1 79.5676 43.7188 57.8215
1989 4 1 79.1031 44.4047 57.7516
1989 5 1 78.6609 43.7351 57.5572
1989 6 1 79.1022 44.3805 57.3319
1989 7 1 77.7066 43.8525 57.066
1989 8 1 78.389 44.479 57.3494
1989 9 1 77.9952 44.3868 57.172
1989 10 1 78.8753 43.662 57.301
1989 11 1 79.0622 43.938 57.428
1989 12 1 80.6492 44.5636 57.2942
1990 1 1 79.8007 44.2516 57.1749
1990 2 1 79.3524 45.0083 57.7351
1990 3 1 79.6032 45.6593 57.8863
1990 4 1 79.8581 45.5574 57.9412
1990 5 1 79.5299 46.0049 58.0654
1990 6 1 80.2623 46.045 58.1611
1990 7 1 80.22 46.2863 58.1489
1990 8 1 80.5156 46.4116 58.457
1990 9 1 81.4275 46.455 58.3941
1990 10 1 80.6697 46.1653 58.1119
1990 11 1 80.9124 45.0738 57.3949
1990 12 1 80.6186 44.7086 56.9371
1991 1 1 81.07 44.4836 56.5699
1991 2 1 80.6718 44.2508 56.3106
1991 3 1 80.651 44.2738 55.853
1991 4 1 80.0324 44.1529 56.0884
1991 5 1 81.4799 44.5062 56.5797
1991 6 1 82.3437 45.1335 56.9621
1991 7 1 81.2797 45.0521 57.3621
1991 8 1 81.7232 45.0462 57.3894
1991 9 1 82.2448 45.6942 57.7156
1991 10 1 81.9998 45.2232 57.8058
1991 11 1 82.0561 45.2288 57.575
1991 12 1 80.9194 45.3518 57.5923
1992 1 1 81.0161 44.4196 57.5156
1992 2 1 80.9888 45.5054 57.7984
1992 3 1 81.4691 45.8316 58.2867
1992 4 1 81.9578 46.3361 58.6685
1992 5 1 81.7852 46.7876 58.6994
1992 6 1 81.4841 46.9116 58.976
1992 7 1 82.1929 47.2592 59.3925
1992 8 1 82.5045 47.0673 58.7687
1992 9 1 82.0641 47.2481 59.1641
1992 10 1 83.0236 47.5458 59.4704
1992 11 1 83.0283 47.8237 59.8011
1992 12 1 82.77 47.9873 59.6782
1993 1 1 82.8623 48.4251 59.9807
1993 2 1 83.0975 48.2479 60.375
1993 3 1 83.0213 48.4331 60.2276
1993 4 1 83.0217 48.7577 60.4817
1993 5 1 82.14 48.8337 60.2854
1993 6 1 82.6534 48.4822 60.6262
1993 7 1 83.6705 48.4779 60.5981
1993 8 1 83.8706 48.1747 60.6992
1993 9 1 83.6061 48.984 60.913
1993 10 1 83.4115 49.871 61.4261
1993 11 1 83.2576 50.1707 61.8163
1993 12 1 83.3564 50.4935 62.2201
1994 1 1 83.7845 50.8727 62.3052
1994 2 1 84.0001 50.4045 62.5501
1994 3 1 84.6545 50.9711 63.255
1994 4 1 84.4531 51.2731 63.704
1994 5 1 85.1243 51.3872 64.1772
1994 6 1 85.8105 51.7261 64.6017
1994 7 1 85.1689 52.2843 64.8963
1994 8 1 85.8779 52.3756 65.315
1994 9 1 85.1375 52.6528 65.6445
1994 10 1 86.0106 53.466 66.0713
1994 11 1 86.0616 54.0163 66.7154
1994 12 1 86.6224 54.576 67.6816
1995 1 1 86.3211 55.0231 67.8669
1995 2 1 86.8168 55.1839 67.7638
1995 3 1 86.8109 55.5682 67.88
1995 4 1 86.4207 55.5712 68.0018
1995 5 1 86.9812 55.9021 68.1173
1995 6 1 87.3787 56.6576 68.1327
1995 7 1 87.4412 56.484 67.8276
1995 8 1 88.2956 57.6632 68.5907
1995 9 1 88.0095 58.1676 68.9159
1995 10 1 87.3823 57.9351 69.0629
1995 11 1 87.7797 58.1013 69.2383
1995 12 1 87.9435 58.4299 69.517
1996 1 1 87.3912 57.6106 69.4407
1996 2 1 88.5462 59.2196 70.341
1996 3 1 88.7958 59.087 70.3492
1996 4 1 88.3573 60.5604 70.9021
1996 5 1 88.3514 61.4529 71.4494
1996 6 1 88.6731 62.5222 72.0884
1996 7 1 87.5075 63.2362 72.0753
1996 8 1 87.6658 63.8304 72.7462
1996 9 1 88.6236 64.2214 73.0171
1996 10 1 88.6132 64.0914 73.2272
1996 11 1 89.5622 65.0068 73.6318
1996 12 1 89.3811 66.2457 74.1148
1997 1 1 89.207 66.4535 74.3585
1997 2 1 89.283 67.543 75.4704
1997 3 1 89.8041 68.6831 75.9156
1997 4 1 89.4559 68.977 76.3101
1997 5 1 89.9308 69.9173 76.7625
1997 6 1 89.2795 70.9776 77.1685
1997 7 1 90.3691 70.979 77.8529
1997 8 1 90.6628 73.1065 78.7554
1997 9 1 91.2797 73.5449 79.5246
1997 10 1 92.932 74.3214 79.5798
1997 11 1 92.374 75.7807 80.523
1997 12 1 91.8187 76.1713 81.1186
1998 1 1 92.1634 77.0665 81.4519
1998 2 1 92.0089 77.3318 81.4503
1998 3 1 92.195 77.5554 81.3677
1998 4 1 92.7701 77.7597 81.649
1998 5 1 93.0758 78.2811 82.2631
1998 6 1 93.3586 78.3414 81.7323
1998 7 1 93.5829 77.6569 81.393
1998 8 1 93.3568 80.4239 82.883
1998 9 1 92.3087 80.2769 82.8874
1998 10 1 92.2423 81.2711 83.5903
1998 11 1 91.4854 81.2115 83.7442
1998 12 1 91.1425 81.3148 84.3842
1999 1 1 92.4975 81.4215 84.5463
1999 2 1 92.5726 82.0051 85.0114
1999 3 1 92.5085 81.8898 85.5797
1999 4 1 91.9743 82.1287 86.0153
1999 5 1 92.8975 83.3214 86.4971
1999 6 1 91.8139 83.0564 86.8858
1999 7 1 91.2545 83.8099 88.0352
1999 8 1 92.1143 84.2154 88.0573
1999 9 1 91.6985 84.0261 87.9717
1999 10 1 92.9614 84.6624 89.0472
1999 11 1 93.1075 84.6016 90.0571
1999 12 1 94.4003 85.2038 90.7234
2000 1 1 92.1345 86.6449 91.0616
2000 2 1 93.0634 87.2963 91.3223
2000 3 1 92.7556 88.1045 91.937
2000 4 1 93.4948 89.1732 92.207
2000 5 1 93.7795 89.7852 92.4332
2000 6 1 94.0528 89.8586 92.5676
2000 7 1 94.0873 90.5663 92.1214
2000 8 1 93.5198 90.2473 92.0272
2000 9 1 94.6133 91.421 92.2573
2000 10 1 93.7213 91.0034 92.0055
2000 11 1 95.0019 90.7642 91.7481
2000 12 1 96.2365 89.8779 91.1478
2001 1 1 95.7546 89.7202 90.0956
2001 2 1 94.9355 89.2154 89.6969
2001 3 1 94.0063 88.8358 89.3176
2001 4 1 94.4072 86.7567 89.1474
2001 5 1 93.9205 85.2383 88.3374
2001 6 1 93.9525 84.4392 87.4714
2001 7 1 93.299 83.6115 86.8708
2001 8 1 93.8321 82.1058 87.0446
2001 9 1 93.5423 80.8666 86.9279
2001 10 1 94.3157 79.2649 86.407
2001 11 1 93.6193 78.8457 85.791
2001 12 1 93.5968 78.2489 85.5582
2002 1 1 94.8538 78.1776 86.2756
2002 2 1 93.8232 77.8336 86.7257
2002 3 1 94.7808 78.1644 87.3121
2002 4 1 94.0275 77.6717 88.264
2002 5 1 94.3404 78.2145 88.8495
2002 6 1 95.5055 78.7855 89.6347
2002 7 1 94.8547 77.9388 89.4803
2002 8 1 94.446 78.7926 89.7395
2002 9 1 94.7576 78.5006 89.5728
2002 10 1 94.7528 78.216 89.0341
2002 11 1 94.8429 78.3492 89.6946
2002 12 1 94.138 77.7375 89.4384
2003 1 1 94.4275 77.9735 90.1896
2003 2 1 96.3595 78.0396 90.2359
2003 3 1 96.3628 78.2217 89.7453
2003 4 1 95.4085 77.376 89.3113
2003 5 1 95.1568 77.2418 89.1898
2003 6 1 94.8864 77.3264 89.2348
2003 7 1 95.3252 76.8232 89.3359
2003 8 1 95.1263 77.5838 89.3002
2003 9 1 95.0769 78.2183 89.8413
2003 10 1 94.4256 78.1055 90.2579
2003 11 1 95.1137 79.6548 90.7453
2003 12 1 95.2028 79.1528 90.871
2004 1 1 95.4304 79.5083 90.987
2004 2 1 96.1742 80.5442 91.3604
2004 3 1 94.9088 80.355 91.2141
2004 4 1 95.7384 80.3973 91.5333
2004 5 1 96.7537 81.2251 92.277
2004 6 1 95.5135 81.0256 91.6547
2004 7 1 95.6158 82.6355 92.4132
2004 8 1 95.9691 82.5206 92.5576
2004 9 1 96.1538 82.6216 92.6072
2004 10 1 96.7327 83.4509 93.5559
2004 11 1 97.0098 83.0403 94.0417
2004 12 1 97.5661 83.6017 94.68
2005 1 1 98.5142 84.8508 94.7675
2005 2 1 98.2205 85.9727 95.4725
2005 3 1 98.4623 85.6329 95.5246
2005 4 1 98.4967 86.6755 95.2844
2005 5 1 99.3361 87.5067 95.0373
2005 6 1 100.2105 87.2592 95.3692
2005 7 1 100.283 87.3905 95.1594
2005 8 1 99.8729 87.9653 95.1162
2005 9 1 99.5024 85.5552 91.3007
2005 10 1 99.1694 89.9767 92.5051
2005 11 1 99.2773 91.2508 94.2817
2005 12 1 100.7577 90.6221 95.1679
2006 1 1 98.842 92.0421 95.7991
2006 2 1 98.7903 92.7569 95.9665
2006 3 1 99.5457 93.4429 95.8448
2006 4 1 99.7194 95.3391 96.3036
2006 5 1 99.6847 95.0005 96.271
2006 6 1 100.1293 95.6686 96.5972
2006 7 1 100.2393 96.891 96.8963
2006 8 1 100.3799 97.2637 97.0029
2006 9 1 100.281 97.3875 96.8985
2006 10 1 100.8739 97.4512 96.6805
2006 11 1 100.5881 97.213 96.5454
2006 12 1 100.2087 98.349 97.7443
2007 1 1 100.3151 96.1686 97.5846
2007 2 1 101.9174 97.4751 98.4878
2007 3 1 100.3363 99.4911 98.8149
2007 4 1 100.4628 100.6576 99.6351
2007 5 1 100.1634 100.2303 99.9687
2007 6 1 99.8984 99.8179 99.9003
2007 7 1 100.1518 99.6944 100.1923
2007 8 1 100.0447 99.468 100.417
2007 9 1 100.5668 101.3031 100.8091
2007 10 1 98.9346 100.8465 100.8261
2007 11 1 98.7239 101.8821 101.6235
2007 12 1 98.4848 102.9652 101.7408
2008 1 1 98.9048 103.3531 101.2192
2008 2 1 98.9996 104.3647 100.9275
2008 3 1 98.2112 104 100.9949
2008 4 1 98.0148 101.988 100.4336
2008 5 1 97.677 102.2394 99.7714
2008 6 1 97.3603 101.9151 99.5254
2008 7 1 97.0962 101.366 99.447
2008 8 1 96.0775 97.9301 97.7244
2008 9 1 95.611 89.7624 91.6186
2008 10 1 96.6095 87.1158 93.9255
2008 11 1 96.5081 88.3397 92.4819
2008 12 1 95.3537 89.083 89.0522
2009 1 1 95.1375 84.2523 87.6572
2009 2 1 94.9264 84.1021 86.985
2009 3 1 94.347 81.8345 85.3411
2009 4 1 93.6601 79.9039 84.7774
2009 5 1 93.0876 77.9497 84.2127
2009 6 1 92.8329 77.1542 83.7847
2009 7 1 92.2628 77.6124 84.7729
2009 8 1 92.7875 78.6079 85.8898
2009 9 1 92.9831 78.7392 86.5787
2009 10 1 93.7907 79.2046 86.7399
2009 11 1 92.4341 78.8559 87.8024
2009 12 1 92.6714 80.3074 88.2995
2010 1 1 93.0203 81.4091 89.4649
2010 2 1 92.5553 81.35 90.5632
2010 3 1 92.4738 82.7206 91.2163
2010 4 1 91.0885 84.2625 91.8159
2010 5 1 92.786 86.1687 93.065
2010 6 1 92.8532 87.0305 93.3817
2010 7 1 92.8184 88.4689 93.9751
2010 8 1 93.1757 88.486 94.4933
2010 9 1 92.8792 89.2615 95.3655
2010 10 1 92.5909 88.7388 94.7046
2010 11 1 92.5065 89.5397 95.1348
2010 12 1 94.0289 90.2531 96.562
2011 1 1 93.6473 91.2626 96.5097
2011 2 1 92.9135 92.0915 95.9152
2011 3 1 92.838 91.9875 97.1797
2011 4 1 93.2626 91.4019 96.5907
2011 5 1 93.646 92.4559 96.4631
2011 6 1 93.6646 92.5739 96.8734
2011 7 1 94.1517 93.0279 97.7686
2011 8 1 94.2909 94.0682 97.8178
2011 9 1 94.2041 94.6261 97.9787
2011 10 1 93.9651 95.8667 98.7345
2011 11 1 93.5122 96.5142 99.4487
2011 12 1 93.4032 97.5015 100.5324
2012 1 1 92.8704 99.4917 101.2287
2012 2 1 93.2202 100.9999 101.2063
2012 3 1 92.006 101.1911 100.7535
2012 4 1 92.5605 102.608 101.6175
2012 5 1 93.7338 102.9058 101.2716
2012 6 1 93.5244 104.8438 101.0786
2012 7 1 94.0893 105.0065 102.1726
2012 8 1 93.3085 104.1836 101.0023
2012 9 1 93.89 103.9747 101.2123
2012 10 1 92.9604 102.6242 101.4336
2012 11 1 93.0291 104.6309 102.4436
2012 12 1 92.5679 105.9946 102.7169
